name;area_genre;rating;dinner_rating;lunch_rating;dinner_budget;lunch_budget;table;pr
山西亭;（東新宿 / 中華料理、刀削麺、担々麺）;3.57;3.57;3.43;￥5,000～￥5,999; ～￥999;28席／個室あり(6人可、8人可)／分煙;
鐘路福餅屋;（新大久保 / スイーツ（その他））;-;-;-;-; ～￥999;;
ローソン 新宿イーストサイドスクエア店 ;（東新宿 / その他）;3.00;3.00;3.00; ～￥999; ～￥999;;
松屋 大久保2丁目店;（東新宿 / 牛丼、カレーライス、定食・食堂）;3.00;3.00;3.00; ～￥999; ～￥999;完全禁煙;
まむし;（東新宿 / レストラン（その他））;-;-;-;-;-;;
North;（西武新宿 / ジンギスカン）;-;-;-;-;-;;
酒蔵駒忠 新大久保店;（東新宿 / 居酒屋）;3.00;3.00;-;￥3,000～￥3,999;-;全面喫煙可;
韓国風中華料理　新宿　ヒロ アズシ;（東新宿 / 韓国料理）;-;-;-;-;-;18席;
Three Monkeys Cafe 新宿 アイランド店;（西武新宿 / その他）;-;-;-;￥2,000～￥2,999;￥1,000～￥1,999;80席／個室あり(20～30人可、30人以上可)／全面喫煙可;
無敵家;（新宿三丁目 / ラーメン、つけ麺）;2.99;3.02;2.98; ～￥999; ～￥999;19席／個室なし／分煙;
ホルモン船　ホールちゃん;（東新宿 / ホルモン、焼肉）;3.81;3.81;-;￥8,000～￥9,999;-;20席／個室なし／全面喫煙可;
お肉屋 0298;（西武新宿 / 焼肉、韓国料理、居酒屋）;3.09;-;3.09;￥2,000～￥2,999; ～￥999;68席／個室あり／全面喫煙可;
金豚 新宿本店;（東新宿 / 韓国料理、焼肉）;3.02;3.02;-;￥4,000～￥4,999;￥3,000～￥3,999;50席／個室なし;
マーラータン;（東新宿 / 四川料理、中国鍋・火鍋）;3.54;3.54;-;￥3,000～￥3,999;-;個室なし／全面喫煙可;
鶴橋オモニ・金杏奈の手作りキムチ 東京新大久保店;（新大久保 / 韓国料理）;3.03;-;3.03; ～￥999; ～￥999;;
アン・ベル・オム;（西武新宿 / レストラン（その他））;-;-;-;-;-;;
マンナ屋;（東新宿 / 韓国料理）;-;-;-;￥2,000～￥2,999; ～￥999;30席／個室なし／全面喫煙可;
キッチン水野;（若松河田 / 洋食、パスタ、ハンバーグ）;3.02;3.02;-;￥1,000～￥1,999; ～￥999;個室なし／全面喫煙可;
瑠奈;（東新宿 / 喫茶店）;3.08;-;3.08;-; ～￥999;;
旬彩 はなれ;（西武新宿 / 割烹・小料理、居酒屋）;-;-;-;￥5,000～￥5,999;-;40席;
タリーズコーヒー イーホテル東新宿店;（東新宿 / カフェ）;3.01;3.00;3.01; ～￥999; ～￥999;個室なし／完全禁煙;
ボナール;（東新宿 / 喫茶店）;3.00;-;3.00;-;-;;
日本橋焼餃子 東新宿店;（東新宿 / 餃子、中華料理、居酒屋・ダイニングバー（その他））;-;-;-;-;-;30席／個室なし／全面喫煙可;
バー・ホルス;（西武新宿 / バー）;-;-;-;-;-;;
桑;（西武新宿 / お好み焼き、もんじゃ焼き、居酒屋）;-;-;-;￥3,000～￥3,999;-;26席／個室なし／全面喫煙可;
小料理 万;（東新宿 / 居酒屋）;-;-;-;-;-;;
MASK;（東新宿 / バー）;-;-;-;￥5,000～￥5,999;-;25席／個室なし／完全禁煙;
ダンディーライオン;（西武新宿 / レストラン（その他））;-;-;-;-;-;;
ニュークラブ・メモリー 新宿歌舞伎町本店;（西武新宿 / パブ）;-;-;-;￥15,000～￥19,999;-;個室なし／全面喫煙可;
味一番！九州ラーメン　博多っ子 新宿店;（東新宿 / ラーメン、ちゃんぽん、定食・食堂）;3.01;3.03;3.00;￥1,000～￥1,999; ～￥999;個室なし／全面喫煙可;
かも川;（西武新宿 / 割烹・小料理）;-;-;-;￥3,000～￥3,999;-;;
松乃家 東新宿店;（東新宿 / とんかつ、かつ丼・かつ重）;3.03;3.01;3.03; ～￥999; ～￥999;完全禁煙;
バー スカイ;（西武新宿 / バー、その他）;-;-;-;-;-;18席;
エディズ バー;（西武新宿 / 地中海料理）;-;-;-;-;-;;
ペッパーランチ 東新宿店;（東新宿 / ステーキ、ハンバーグ）;3.03;3.02;3.01;￥1,000～￥1,999;￥1,000～￥1,999;;
ダリカレー;（西武新宿 / バー、カレーライス）;3.04;-;3.02;￥1,000～￥1,999;￥1,000～￥1,999;;
水宝館;（東新宿 / 韓国料理、焼肉、居酒屋）;3.27;3.17;3.11;￥3,000～￥3,999; ～￥999;80席／個室なし／全面喫煙可;
シーズン;（東新宿 / バイキング、バー）;-;-;-;￥2,000～￥2,999;￥1,000～￥1,999;40席／個室あり(10～20人可、20～30人可、30人以上可)／分煙;
韓国料理マニト;（新大久保 / 韓国料理、焼肉、豚料理）;3.30;3.26;3.14;￥2,000～￥2,999; ～￥999;30席／個室なし／全面喫煙可;
ホテルサンルート 東新宿;（東新宿 / その他）;-;-;-;-;-;;
中華料理 方園;（新宿三丁目 / 中華料理、中国鍋・火鍋）;3.04;3.04;-;￥1,000～￥1,999; ～￥999;全面喫煙可;
バトゥールトーキョー;（東新宿 / 洋食・欧風料理（その他））;3.00;3.00;-;￥3,000～￥3,999;-;150席;
チャオ;（西武新宿 / ピザ、ワインバー、バー）;-;-;-;￥1,000～￥1,999;-;10席／個室なし／完全禁煙;
誰も知らない小さな寿司屋　ほしな;（西武新宿 / 寿司）;3.40;3.40;-;￥10,000～￥14,999;-;8席／個室なし／完全禁煙;
